model_output_id,canonical_sci,canonical_zh,canonical_en,family_sci,family_zh,order_sci,iucn,protect_level,v3_n,v1_n,aug_n,in_china_v12,note
789,Locustella mandelli,高山短翅蝗莺,russet bush warbler,Locustellidae,蝗莺科,PASSERIFORMES,LC,,91,74,17,true,中文名由高山短翅莺改为高山短翅蝗莺
792,Locustella thoracica,斑胸短翅蝗莺,spotted bush warbler,Locustellidae,蝗莺科,PASSERIFORMES,LC,,138,138,0,true,中文名由斑胸短翅莺改为斑胸短翅蝗莺
793,Lonchura atricapilla,栗腹文鸟,chestnut munia,Estrildidae,梅花雀科,PASSERIFORMES,LC,,99,69,30,true,
794,Lonchura punctulata,斑文鸟,scaly breasted munia,Estrildidae,梅花雀科,PASSERIFORMES,LC,,1123,1123,0,true,
795,Lonchura striata,白腰文鸟,white rumped munia,Estrildidae,梅花雀科,PASSERIFORMES,LC,,1159,1159,0,true,
796,Lophophanes dichrous,褐冠山雀,grey crested tit,Paridae,山雀科,PASSERIFORMES,LC,,180,180,0,true,
797,Lophophorus impejanus,棕尾虹雉,himalayan monal,Phasianidae,雉科,GALLIFORMES,LC,一级,324,324,0,true,
798,Lophophorus lhuysii,绿尾虹雉,chinese monal,Phasianidae,雉科,GALLIFORMES,VU,一级,192,192,0,true,
799,Lophophorus sclateri,白尾梢虹雉,sclater's monal,Phasianidae,雉科,GALLIFORMES,LC,一级,141,141,0,true,IUCN红色名录等级由VU降为LC
800,Lophospiza trivirgata,凤头鹰,crested goshawk,Accipitridae,鹰科,ACCIPITRIFORMES,LC,二级,769,769,0,true,由Accipiter属移入重新恢复的Lophospiza属，学名由Accipiter trivirgatus改为Lophospiza trivirgata（Lerner & Mindell 2005；Mindell et al. 2018；Sangster et al.2021；Catanach et al.2024）
801,Lophotriorchis kienerii,棕腹隼雕,rufous bellied eagle,Accipitridae,鹰科,ACCIPITRIFORMES,NT,二级,87,87,0,true,
802,Lophura leucomelanos,黑鹇,kalij pheasant,Phasianidae,雉科,GALLIFORMES,LC,二级,207,207,0,true,
803,Lophura nycthemera,白鹇,silver pheasant,Phasianidae,雉科,GALLIFORMES,LC,二级,580,580,0,true,
804,Lophura swinhoii,蓝腹鹇,swinhoe's pheasant,Phasianidae,雉科,GALLIFORMES,NT,一级,244,244,0,true,
806,Loxia curvirostra,红交嘴雀,red crossbill,Fringillidae,燕雀科,PASSERIFORMES,LC,二级,386,386,0,true,
807,Loxia leucoptera,白翅交嘴雀,white winged crossbill,Fringillidae,燕雀科,PASSERIFORMES,LC,,137,137,0,true,
808,Luscinia megarhynchos,新疆歌鸲,common nightingale,Muscicapidae,鹟科,PASSERIFORMES,LC,二级,89,69,20,true,
809,Luscinia phaenicuroides,白腹短翅鸲,white bellied redstart,Muscicapidae,鹟科,PASSERIFORMES,LC,,119,119,0,true,
810,Luscinia svecica,蓝喉歌鸲,bluethroat,Muscicapidae,鹟科,PASSERIFORMES,LC,二级,345,345,0,true,
811,Lymnocryptes minimus,姬鹬,jack snipe,Scolopacidae,丘鹬科,CHARADRIIFORMES,LC,,192,192,0,true,
812,Lyncornis macrotis,毛腿耳夜鹰,great eared nightjar,Caprimulgidae,夜鹰科,CAPRIMULGIFORMES,LC,,97,72,25,true,
813,Lyrurus tetrix,黑琴鸡,black grouse,Phasianidae,雉科,GALLIFORMES,LC,一级,155,155,0,true,
814,Machlolophus holsti,台湾黄山雀,yellow tit,Paridae,山雀科,PASSERIFORMES,LC,,86,37,49,true,IUCN红色名录等级由NT降为LC
815,Machlolophus spilonotus,黄颊山雀,yellow cheeked tit,Paridae,山雀科,PASSERIFORMES,LC,,283,283,0,true,
816,Machlolophus xanthogenys,眼纹黄山雀,himalayan black lored tit,Paridae,山雀科,PASSERIFORMES,LC,,85,39,46,true,
819,Macropygia unchall,斑尾鹃鸠,barred cuckoo dove,Columbidae,鸠鸽科,COLUMBIFORMES,LC,二级,136,136,0,true,
820,Mareca americana,绿眉鸭,american wigeon,Anatidae,鸭科,ANSERIFORMES,LC,,434,434,0,true,
821,Mareca falcata,罗纹鸭,falcated duck,Anatidae,鸭科,ANSERIFORMES,LC,,1064,1064,0,true,IUCN红色名录等级由NT降为LC
822,Mareca penelope,赤颈鸭,eurasian wigeon,Anatidae,鸭科,ANSERIFORMES,LC,,1009,1009,0,true,
823,Mareca strepera,赤膀鸭,gadwall,Anatidae,鸭科,ANSERIFORMES,LC,,650,650,0,true,
825,Megaceryle lugubris,冠鱼狗,crested kingfisher,Alcedinidae,翠鸟科,CORACIIFORMES,LC,,675,675,0,true,
826,Megalurus palustris,沼泽大尾莺,striated grassbird,Locustellidae,蝗莺科,PASSERIFORMES,LC,,168,168,0,true,
827,Melanitta americana,黑海番鸭,black scoter,Anatidae,鸭科,ANSERIFORMES,NT,,89,89,0,true,
828,Melanitta fusca,丝绒海番鸭,velvet scoter,Anatidae,鸭科,ANSERIFORMES,VU,,119,119,0,true,
829,Melanitta stejnegeri,斑脸海番鸭,stejneger's scoter,Anatidae,鸭科,ANSERIFORMES,LC,,195,195,0,true,
830,Melanochlora sultanea,冕雀,sultan tit,Paridae,山雀科,PASSERIFORMES,LC,,278,278,0,true,
